-0.5,0,0,0,0,1.0599264000019161E8,0
-0.499999334255824,0.0010599261498547372,0,1.0000000000000001E-11,116505.23079227482,1.0599259622443527E8,0
-0.49999737400917305,0.0021198518087679626,0,2.0000000000000002E-11,255664.24081419947,1.0599254314148799E8,0
-0.49999409408747114,0.003179776556769939,0,3.0E-11,382238.1172038272,1.0599242354422982E8,0
-0.49998950847310425,0.004239699907224204,0,4.0000000000000004E-11,515803.926292577,1.0599226867132413E8,0
-0.4999836093951809,0.005299621409917853,0,5.000000000000001E-11,645485.6918755858,1.0599206146789537E8,0
-0.49997640116664527,0.006359540594735517,0,6.0E-11,777325.7248010322,1.0599181124217026E8,0
-0.4999678813861823,0.007419457002426345,0,7.000000000000002E-11,907967.287429836,1.0599151291426685E8,0
-0.49995805138160226,0.008479370167796478,0,8.000000000000001E-11,1039275.335926565,1.0599116925407326E8,0
-0.499946910407961,0.009539279628885443,0,9.0E-11,1170213.8852606746,1.059907787500145E8,0
-0.4999344587660435,0.010599184921762447,0,1.0000000000000002E-10,1301376.921633506,1.0599034219096464E8,0
-0.4999206963230479,0.011659085583670487,0,1.1000000000000001E-10,1432394.8329873944,1.059898591906838E8,0
-0.4999056232299268,0.012718981151342772,0,1.2E-10,1563495.1714416964,1.0598932994963752E8,0
-0.49988923938564966,0.013778871161738551,0,1.3000000000000002E-10,1694551.3699113636,1.0598875435703363E8,0
-0.4998715448298071,0.014838755151667351,0,1.4000000000000003E-10,1825633.7449776751,1.059881324697641E8,0
-0.4998525395238739,0.01589863265799239,0,1.5E-10,1956703.2295762768,1.0598746425455944E8,0
-0.49983222347247636,0.016958503217520685,0,1.6000000000000002E-10,2087781.5723662789,1.0598674972653145E8,0
-0.4998105966557796,0.018018366367061587,0,1.7000000000000003E-10,2218856.742634315,1.0598598887475942E8,0
-0.4997876590669213,0.019078221643394334,0,1.8E-10,2349935.493223125,1.059851817021619E8,0
-0.49976341069110664,0.02013806858328436,0,1.9000000000000002E-10,2481014.1476385007,1.0598432820413281E8,0
-0.49973785151715466,0.021197906723473218,0,2.0000000000000003E-10,2612094.8308727397,1.0598342837995028E8,0
-0.4997109815310298,0.02225773560068259,0,2.1E-10,2743176.4487001873,1.0598248222667933E8,0
-0.4996828007193982,0.02331755475161072,0,2.2000000000000002E-10,2874259.698995876,1.0598148974241437E8,0
-0.4996533090676233,0.02437736371293278,0,2.3000000000000003E-10,3005344.286354181,1.0598045092455003E8,0
-0.4996225065608578,0.0254371620212991,0,2.4E-10,3136430.4691788675,1.0597936577069606E8,0
-0.4995903931834206,0.026496949213334595,0,2.5E-10,3267518.199625123,1.0597823427818984E8,0
-0.4995569689191298,0.02755672482563742,0,2.6000000000000003E-10,3398607.601151705,1.0597705644435215E8,0
-0.49952223375110805,0.028616488394778077,0,2.7000000000000005E-10,3529698.7029377315,1.0597583226635084E8,0
-0.4994861876618826,0.029676239457298276,0,2.8000000000000007E-10,3660791.5872618607,1.0597456174127135E8,0
-0.499448830633323,0.03073597754970988,0,2.9E-10,3791886.3074745843,1.0597324486607882E8,0
-0.49941016264667115,0.031795702208493856,0,3.0E-10,3922982.9334643385,1.05971881637637E8,0
-0.4993701836825201,0.032855412970099154,0,3.1E-10,4054081.5263105603,1.0597047205269802E8,0
-0.49932889372082284,0.03391510937094161,0,3.2000000000000003E-10,4185182.1522992547,1.05969016107907E8,0
-0.4992862927408837,0.03497479094740291,0,3.3000000000000005E-10,4316284.875082447,1.0596751379979919E8,0
-0.4992423807213619,0.03603445723582947,0,3.4000000000000007E-10,4447389.759991671,1.0596596512480153E8,0
-0.49919715764026706,0.03709410777253137,0,3.5000000000000003E-10,4578496.871607063,1.059643700792311E8,0
-0.49915062347495964,0.03815374209378118,0,3.6E-10,4709606.275080129,1.0596272865929587E8,0
-0.49910277820214993,0.039213359735813,0,3.7E-10,4840718.035376197,1.0596104086109392E8,0
-0.4990536217978973,0.04027296023482118,0,3.8000000000000003E-10,4971832.217676787,1.0595930668061417E8,0
-0.4990031542376093,0.04133254312695945,0,3.9000000000000005E-10,5102948.887140791,1.0595752611373511E8,0
-0.4989513754960414,0.04239210794833961,0,4.0000000000000007E-10,5234068.109024607,1.059556991562259E8,0
-0.4988982855472964,0.04345165423503054,0,4.1000000000000003E-10,5365189.948604917,1.0595382580374537E8,0
-0.4988438843648241,0.04451118152305712,0,4.2E-10,5496314.471212916,1.059519060518426E8,0
-0.49878817192142044,0.04557068934839904,0,4.3E-10,5627441.742207999,1.0594993989595634E8,0
-0.49873114818922815,0.0466301772469898,0,4.4000000000000003E-10,5758571.8269862775,1.0594792733141524E8,0
-0.49867281313973544,0.047689644754715516,0,4.5000000000000005E-10,5889704.790970755,1.059458683534379E8,0
-0.4986131667437762,0.048749091407413854,0,4.6000000000000007E-10,6020840.6996124,1.0594376295713222E8,0
-0.49855220897152996,0.049808516740872964,0,4.7E-10,6151979.618385953,1.0594161113749641E8,0
-0.4984899397925209,0.050867920290830315,0,4.8E-10,6283121.612789108,1.0593941288941762E8,0
-0.4984263591756184,0.05192730159297165,0,4.900000000000001E-10,6414266.748340387,1.0593716820767292E8,0
-0.4983614670890365,0.05298666018292984,0,5.0E-10,6545415.090578068,1.0593487708692895E8,0
-0.4982952635003336,0.05404599559628377,0,5.1E-10,6676566.705058896,1.0593253952174166E8,0
-0.4982277483764127,0.055105307368557274,0,5.200000000000001E-10,6807721.657357185,1.0593015550655644E8,0
-0.49815892168352083,0.05616459503521798,0,5.3E-10,6938880.0130639775,1.0592772503570817E8,0
